NDA,INDIA,YSRCP,AAP,AD(WPD),AIMIM,ASP(KR),SAD,UPPL,ZPM,JKAIP,IND,is_hung
279,215,25,5,0,3,2,4,2,1,1,6,False
271,219,24,7,5,6,0,5,0,2,0,4,True
277,240,0,12,0,6,0,4,2,1,1,0,False
327,185,16,0,4,2,1,0,0,1,2,5,False
254,261,5,8,3,1,0,3,1,2,1,4,True
250,263,6,5,2,3,2,2,0,2,0,8,True
286,225,6,11,3,5,2,4,0,0,1,0,False
269,237,12,9,2,5,0,1,1,1,0,6,True
251,265,5,10,1,0,2,3,0,1,2,3,True
289,209,13,14,3,0,2,2,0,1,0,10,False
293,223,13,3,0,0,1,1,2,0,0,7,False
310,214,2,1,3,5,1,0,1,0,1,5,False
317,186,12,2,2,6,2,5,0,2,2,7,False
321,181,18,13,1,3,1,0,0,0,0,5,False
279,222,20,5,3,3,1,2,0,0,1,7,False
316,199,2,9,5,1,0,2,1,1,0,7,False
291,200,25,9,1,6,3,1,2,1,0,4,False
233,283,6,6,0,5,1,3,1,1,1,3,False
267,252,5,2,1,2,0,1,2,2,2,7,True
236,262,19,2,1,5,2,4,1,2,2,7,True
291,207,18,13,5,4,0,4,0,0,0,1,False
292,221,9,8,3,2,1,5,0,0,2,0,False
302,207,19,2,0,2,1,3,1,2,2,2,False
249,233,25,13,4,1,1,4,2,1,0,10,True
328,172,9,14,5,6,3,0,0,1,1,4,False
270,226,16,15,4,1,0,1,2,0,2,6,True
261,251,12,7,2,3,1,0,0,2,1,3,True
289,219,5,8,2,5,2,4,2,2,2,3,False
326,179,16,8,0,4,0,4,1,1,1,3,False
299,206,18,1,0,4,0,5,0,1,2,7,False
273,245,16,2,1,1,0,1,1,2,1,0,False
280,226,18,5,2,3,2,1,1,2,0,3,False
245,257,21,7,2,2,1,3,1,1,2,1,True
286,225,12,7,2,2,1,3,0,1,1,3,False
303,204,15,4,1,4,3,1,0,0,1,7,False
303,198,20,2,3,4,3,4,0,2,1,3,False
267,242,5,13,4,1,0,0,1,0,2,8,True
308,200,15,6,1,3,0,5,0,0,0,5,False
261,262,8,3,0,3,2,0,2,0,2,0,True
312,205,6,3,0,4,0,2,2,1,2,6,False
271,255,2,3,1,0,0,0,2,1,1,7,True
265,245,22,2,0,3,1,4,1,0,0,0,True
284,227,0,11,5,6,0,1,1,2,1,5,False
280,218,20,10,4,2,1,0,2,0,0,6,False
259,239,18,5,4,4,2,1,2,0,1,8,True
254,255,18,4,0,2,1,5,2,0,0,2,True
308,202,20,0,3,0,2,0,0,0,2,6,False
301,209,6,6,5,4,0,0,1,0,1,10,False
246,263,12,10,3,3,1,5,0,0,0,0,True
249,273,4,0,3,3,2,0,0,1,2,6,False
294,226,9,7,2,1,2,1,0,1,0,0,False
253,247,20,7,1,2,1,2,2,2,2,4,True
286,211,22,15,0,0,0,4,0,0,1,4,False
269,247,6,0,0,5,2,1,2,1,2,8,True
254,254,14,7,3,2,0,0,1,2,0,6,True
246,273,4,7,4,2,3,0,0,0,0,4,False
321,197,8,0,4,3,0,2,0,1,0,7,False
230,266,20,0,5,5,1,2,2,1,2,9,True
293,212,12,10,5,1,3,0,1,1,2,3,False
333,171,20,6,3,2,1,2,0,0,1,4,False
287,220,12,6,2,4,2,4,1,0,1,4,False
218,281,15,9,3,5,2,4,2,2,2,0,False
275,218,23,9,3,3,2,4,0,2,2,2,False
280,220,8,12,1,4,2,4,2,1,0,9,False
299,222,6,1,1,0,3,2,1,2,2,4,False
232,272,24,5,0,5,2,0,0,1,0,2,False
255,238,20,6,5,4,1,3,0,2,0,9,True
301,215,11,1,3,0,2,1,0,0,0,9,False
269,237,14,2,3,4,0,4,1,1,1,7,True
224,279,6,13,1,4,2,2,1,0,2,9,False
290,209,16,7,5,1,2,2,2,0,1,8,False
263,245,7,6,5,2,0,3,1,2,0,9,True
264,248,8,6,2,4,0,2,0,1,2,6,True
253,264,0,8,1,5,2,1,2,2,1,4,True
248,252,19,13,4,0,3,1,0,1,1,1,True
277,230,12,12,5,0,0,3,2,0,1,1,False
278,226,4,14,4,3,3,1,2,1,1,6,False
268,238,19,3,3,1,0,2,1,1,0,7,True
268,237,17,10,2,3,0,2,0,1,1,2,True
247,268,12,4,2,3,0,3,0,2,1,1,True
245,261,21,2,1,1,1,4,2,0,0,5,True
279,224,9,13,3,4,3,2,2,2,0,2,False
235,258,18,12,2,4,0,3,1,2,2,6,True
259,261,7,2,2,2,2,3,1,0,1,3,True
237,277,8,7,5,1,1,1,1,0,2,3,False
304,197,11,13,4,1,3,4,1,2,0,3,False
269,242,16,2,1,3,0,4,2,2,1,1,True
319,200,3,4,3,5,2,1,1,1,1,3,False
255,245,25,6,0,2,1,3,1,1,0,4,True
237,271,12,6,3,5,1,3,1,1,1,2,True
291,220,1,14,0,6,3,1,1,1,1,4,False
255,263,9,2,2,6,3,0,1,2,0,0,True
264,239,25,4,1,1,1,5,0,1,1,1,True
216,304,6,3,2,0,0,0,1,1,0,10,False
301,208,2,13,4,1,0,1,1,2,1,9,False
234,268,20,3,3,0,3,4,1,1,2,4,True
315,186,18,10,4,0,1,3,1,2,1,2,False
288,212,21,7,3,3,3,4,1,1,0,0,False
301,213,10,9,1,2,0,4,1,0,1,1,False
305,196,6,13,4,3,2,3,0,0,2,9,False
260,247,16,5,3,4,0,4,1,0,1,2,True
255,245,24,6,1,5,1,3,0,0,0,3,True
293,227,15,0,0,2,2,0,2,1,0,1,False
269,212,23,13,5,0,3,5,2,1,0,10,True
273,247,4,1,4,1,3,5,0,2,0,3,False
317,211,2,2,3,1,0,1,2,2,2,0,False
234,279,13,0,1,4,3,2,0,0,0,7,False
297,191,22,12,4,4,2,4,2,2,1,2,False
285,225,8,10,3,2,0,3,0,0,0,7,False
287,235,2,0,4,6,1,5,1,0,1,1,False
244,259,20,3,4,4,0,4,2,0,0,3,True
324,187,7,5,0,4,3,0,2,2,2,7,False
288,212,24,8,2,2,0,2,2,1,1,1,False
290,219,11,2,5,1,0,3,1,2,1,8,False
261,246,16,7,3,1,2,4,1,0,1,1,True
209,294,13,9,5,6,3,0,0,2,0,2,False
283,221,4,13,2,2,2,4,1,2,0,9,False
333,176,18,2,2,6,0,3,2,1,0,0,False
315,198,0,15,3,3,0,4,1,0,2,2,False
272,242,6,13,4,2,0,1,1,1,1,0,False
292,216,7,7,5,0,3,3,1,0,2,7,False
254,249,18,11,1,3,0,2,0,0,2,3,True
318,179,23,10,2,0,0,2,1,1,0,7,False
293,219,7,7,4,4,0,5,0,2,0,2,False
258,258,12,0,4,1,1,0,2,1,0,6,True
244,251,17,12,4,3,0,1,1,1,1,8,True
301,217,3,6,1,2,2,2,1,0,0,8,False
282,215,25,0,2,5,1,5,1,1,1,5,False
242,265,16,4,2,2,2,2,1,1,1,5,True
271,254,1,2,3,1,2,1,0,1,1,6,True
265,247,9,9,3,5,1,1,1,0,0,2,True
262,261,6,2,0,1,1,2,1,0,1,6,True
222,300,7,2,1,3,2,0,1,0,2,3,False
291,211,20,7,0,3,1,3,1,0,0,6,False
253,275,3,1,4,2,2,0,0,0,0,3,False
275,217,11,14,0,6,1,3,2,2,2,10,False
247,252,15,9,5,4,1,5,2,2,1,0,True
296,232,2,3,2,1,2,2,0,2,0,1,False
313,198,5,10,4,1,0,4,1,1,1,5,False
312,190,6,15,1,6,1,1,1,1,1,8,False
264,228,18,10,5,6,3,4,1,2,2,0,True
247,263,1,13,3,1,2,2,1,1,2,7,True
287,208,23,5,4,5,0,2,0,1,2,6,False
237,284,2,2,2,5,3,2,2,2,1,1,False
291,227,2,11,2,4,1,0,1,1,2,1,False
315,182,22,10,2,5,1,3,0,0,1,2,False
261,242,16,2,4,5,3,1,2,0,0,7,True
317,191,10,6,4,3,2,0,2,1,2,5,False
250,269,7,3,3,2,3,3,1,0,1,1,True
272,239,17,1,0,0,3,5,0,1,0,5,False
295,214,16,0,3,5,0,4,2,2,2,0,False
271,234,18,13,4,2,0,0,1,0,0,0,True
238,271,5,13,0,4,0,2,2,2,1,5,True
263,244,12,7,0,5,2,1,0,1,1,7,True
268,238,12,12,0,2,1,3,0,0,2,5,True
304,201,13,6,3,6,1,4,1,1,2,1,False
294,220,16,2,4,0,1,4,1,1,0,0,False
238,284,7,1,2,2,3,1,0,0,0,5,False
231,259,19,6,1,5,3,4,2,2,2,9,True
237,276,0,11,2,2,2,1,2,2,0,8,False
221,278,20,9,3,4,3,4,0,1,0,0,False
248,253,25,0,0,0,0,3,2,0,2,10,True
239,252,22,12,1,1,1,5,2,1,1,6,True
263,247,6,7,3,3,3,3,2,2,1,3,True
250,263,19,4,2,1,0,1,0,1,0,2,True
261,243,19,6,2,5,2,0,2,1,1,1,True
272,232,20,6,2,4,0,4,0,0,1,2,False
240,257,19,3,1,4,3,3,1,2,0,10,True
274,223,15,13,5,5,1,0,0,2,0,5,False
252,254,7,10,3,5,0,4,2,2,1,3,True
247,269,4,8,1,4,1,4,0,0,2,3,True
220,282,9,13,2,5,2,2,1,0,2,5,False
239,258,11,15,2,3,0,2,0,1,2,10,True
248,254,23,3,2,3,0,2,0,0,0,8,True
317,204,1,6,0,3,2,2,1,1,0,6,False
312,199,11,4,2,5,2,5,1,0,2,0,False
232,270,22,2,4,5,3,3,0,0,1,1,True
223,278,20,3,3,2,1,1,1,1,2,8,False
226,277,16,0,5,4,2,3,1,0,1,8,False
281,244,3,0,4,5,1,2,2,0,1,0,False
267,241,18,4,2,2,0,4,2,1,1,1,True
261,250,11,10,1,3,1,4,0,0,2,0,True
310,196,14,5,1,3,1,0,1,1,1,10,False
263,241,13,8,4,3,2,3,2,1,0,3,True
250,251,25,1,5,3,1,2,2,0,1,2,True
255,250,20,3,2,2,2,0,2,0,0,7,True
293,201,18,4,5,6,2,2,1,1,2,8,False
266,236,18,6,3,2,2,1,0,0,2,7,True
333,194,3,2,3,4,0,2,0,1,1,0,False
223,268,22,12,3,3,3,5,2,1,1,0,True
251,239,22,7,3,6,1,2,2,0,1,9,True
278,212,21,10,4,2,3,5,0,0,1,7,False
232,272,3,15,4,6,0,4,1,0,1,5,False
253,261,6,9,1,5,1,3,0,0,2,2,True
291,219,10,11,4,3,2,0,0,2,1,0,False
304,209,6,6,2,3,0,0,2,2,1,8,False
273,229,15,12,4,1,2,0,1,0,0,6,False
275,205,25,15,1,4,1,4,2,1,2,8,False
246,248,22,8,0,5,1,1,2,2,1,7,True
239,269,21,3,5,0,1,0,1,1,2,1,True
269,250,1,12,4,0,0,3,1,0,1,2,True
320,191,2,12,4,5,3,0,2,0,1,3,False
302,214,4,1,2,4,2,4,0,1,1,8,False
250,261,5,8,4,5,1,2,2,1,1,3,True
278,243,11,2,0,1,0,2,1,1,2,2,False
306,189,14,12,4,4,0,2,1,2,1,8,False
323,178,22,8,3,2,1,2,0,2,2,0,False
249,253,19,4,5,3,2,0,1,2,0,5,True
262,249,1,14,5,0,3,4,2,1,2,0,True
267,238,22,1,0,6,1,5,1,0,1,1,True
251,265,3,3,4,2,1,3,0,0,2,9,True
332,169,12,12,5,2,1,0,0,1,0,9,False
247,271,15,0,2,6,0,0,0,0,2,0,True
236,270,23,2,2,1,0,4,1,1,0,3,True
253,245,21,3,3,3,3,2,1,1,1,7,True
253,262,5,2,0,2,0,5,1,2,2,9,True
238,270,8,11,1,5,1,3,1,0,0,5,True
264,234,25,1,5,2,1,2,1,2,2,4,True
286,212,21,15,0,5,0,1,2,0,0,1,False
271,240,18,2,1,5,2,1,0,2,1,0,True
274,237,11,5,1,2,3,5,0,2,1,2,False
238,277,8,2,5,6,1,2,1,0,0,3,False
295,218,0,15,5,2,2,0,2,2,0,2,False
292,212,10,11,5,0,1,5,2,1,2,2,False
296,213,15,3,1,3,2,2,2,2,0,4,False
231,289,3,1,3,6,1,1,0,2,1,5,False
324,179,15,5,1,5,3,4,0,2,1,4,False
242,257,21,3,3,4,2,1,0,2,1,7,True
287,229,6,10,4,2,0,0,1,0,2,2,False
287,209,11,10,4,5,2,2,0,2,2,9,False
320,189,6,7,1,6,1,1,1,1,0,10,False
280,230,6,10,1,5,2,1,0,2,0,6,False
303,203,19,0,2,1,0,4,0,2,0,9,False
311,195,10,8,3,0,3,4,1,1,0,7,False
293,221,7,1,4,0,2,4,0,0,2,9,False
259,243,17,9,3,1,2,0,2,1,1,5,True
273,242,5,9,1,2,3,3,2,1,2,0,False
299,236,0,1,1,0,1,0,2,1,2,0,False
223,292,10,12,1,0,1,3,0,0,0,1,False
277,246,0,5,2,0,1,4,1,1,1,5,False
282,223,15,9,0,4,2,2,1,1,0,4,False
316,208,5,0,1,2,3,0,1,0,2,5,False
240,268,16,1,1,1,2,3,1,1,2,7,True
240,265,19,9,1,1,1,2,2,1,2,0,True
308,192,13,6,5,4,1,3,2,2,1,6,False
325,181,9,14,1,5,2,1,1,1,0,3,False
255,248,19,5,3,2,2,4,1,1,2,1,True
248,262,4,11,1,2,3,3,2,1,1,5,True
268,257,0,7,3,3,1,3,1,0,0,0,True
258,257,7,9,4,2,2,0,2,0,2,0,True
300,210,5,7,4,1,1,3,0,2,1,9,False
247,264,7,6,2,3,0,2,2,0,2,8,True
230,282,12,10,1,1,1,0,1,2,2,1,False
315,201,1,11,1,4,0,0,2,0,0,8,False
256,250,12,6,3,4,2,1,2,1,1,5,True
248,261,13,11,4,1,0,0,1,2,2,0,True
226,283,7,7,0,0,2,4,2,1,1,10,False
293,219,22,0,1,0,2,1,1,1,0,3,False
291,196,24,15,4,0,1,2,0,2,1,7,False
293,208,8,14,4,3,2,0,0,0,2,9,False
264,239,10,13,2,0,2,0,1,2,0,10,True
323,193,6,2,5,5,1,3,1,1,1,2,False
261,250,20,2,1,1,1,1,1,0,1,4,True
284,218,18,9,1,2,2,0,1,2,1,5,False
295,210,19,0,2,4,0,4,0,1,1,7,False
276,223,17,15,5,1,1,1,2,1,1,0,False
291,228,1,3,4,4,1,4,2,1,0,4,False
303,202,15,12,3,3,0,2,0,0,1,2,False
268,230,12,11,2,5,1,5,2,1,2,4,True
281,236,7,4,4,2,2,3,0,0,2,2,False
301,202,19,8,0,1,3,1,0,0,1,7,False
270,233,17,11,2,4,1,0,0,0,1,4,True
279,227,8,10,5,1,1,4,2,0,1,5,False
260,253,2,7,1,4,2,3,2,1,1,7,True
290,221,7,5,3,5,1,3,1,1,2,4,False
290,219,13,7,0,6,3,1,2,0,1,1,False
289,233,6,4,5,4,0,0,0,0,2,0,False
284,207,18,15,3,6,2,5,0,2,1,0,False
220,292,7,6,4,5,0,3,2,1,1,2,False
313,191,12,6,3,3,3,5,0,0,1,6,False
291,227,13,0,3,2,1,2,0,1,1,2,False
283,205,25,4,5,6,1,4,0,0,2,8,False
268,262,0,1,4,0,1,0,0,0,0,7,True
234,266,21,7,3,2,2,3,2,0,2,1,True
298,198,15,13,4,5,2,3,0,2,2,1,False
284,215,12,12,1,6,1,3,0,0,0,9,False
263,241,23,5,4,0,0,0,0,1,0,6,True
312,218,0,2,0,3,3,2,1,0,0,2,False
249,261,5,13,3,2,2,3,2,2,1,0,True
241,272,4,6,3,3,3,3,0,0,1,7,False
270,246,5,1,4,3,2,4,0,2,1,5,True
280,213,23,5,0,1,3,4,1,2,1,10,False
267,216,21,15,3,6,1,5,1,2,1,5,True
282,248,1,2,4,0,1,0,0,2,0,3,False
290,222,6,1,0,5,0,5,1,1,2,10,False
236,268,11,9,4,4,2,2,1,2,2,2,True
218,283,11,6,5,1,0,4,2,2,2,9,False
262,256,7,9,0,2,1,4,1,0,1,0,True
248,251,17,10,0,4,0,4,0,0,1,8,True
282,228,3,13,0,2,3,2,2,2,2,4,False
328,196,4,0,1,0,3,2,1,1,1,6,False
221,282,22,0,0,0,2,4,2,2,1,7,False
244,269,4,14,0,6,1,3,0,0,2,0,True
243,265,20,6,0,1,3,1,1,2,1,0,True
268,233,13,11,3,3,1,0,2,2,1,6,True
305,208,3,9,5,0,0,4,1,2,1,5,False
212,291,7,6,3,6,3,4,0,0,2,9,False
259,260,7,4,1,4,2,1,2,0,2,1,True
295,221,5,0,3,1,1,4,2,1,2,8,False
295,202,20,1,3,5,2,2,1,1,2,9,False
308,210,2,6,4,4,1,0,0,2,2,4,False
276,212,25,6,4,3,2,3,1,2,1,8,False
306,204,5,13,4,4,3,0,2,0,0,2,False
285,233,4,9,2,2,0,5,0,1,0,2,False
232,289,4,7,3,0,1,0,0,2,1,4,False
236,253,22,12,1,4,0,5,1,2,1,6,True
321,181,21,6,0,3,0,3,1,1,1,5,False
304,212,0,7,5,2,0,4,1,1,0,7,False
238,263,9,6,1,5,1,5,2,2,1,10,True
278,222,8,13,1,6,0,4,0,2,2,7,False
297,209,17,7,0,2,0,2,0,0,2,7,False
261,246,15,5,4,1,1,1,2,1,2,4,True
285,208,25,6,5,2,1,1,2,0,0,8,False
263,256,2,13,1,0,0,1,1,0,1,5,True
335,185,2,3,2,4,0,2,1,1,1,7,False
266,244,20,5,1,1,1,2,1,0,2,0,True
274,242,8,3,3,0,2,4,2,2,2,1,False
286,220,3,13,3,1,3,3,1,0,2,8,False
293,214,6,5,2,6,3,5,0,0,0,9,False
231,281,14,6,4,1,1,1,0,2,1,1,False
261,247,23,2,5,0,1,3,0,1,0,0,True
267,244,23,0,4,0,0,1,1,2,1,0,True
262,243,8,10,2,6,1,4,0,2,2,3,True
292,209,25,0,0,0,1,5,0,1,1,9,False
254,254,13,10,1,2,2,4,0,1,1,1,True
260,248,2,13,2,5,1,2,2,2,1,5,True
274,229,21,4,0,1,2,1,2,1,0,8,False
307,215,5,2,2,0,0,4,1,1,0,6,False
297,207,16,1,5,6,2,3,2,0,2,2,False
262,254,15,1,1,0,0,5,0,0,0,5,True
288,224,4,4,4,3,1,4,2,0,2,7,False
312,196,16,2,2,0,2,4,1,1,0,7,False
333,189,7,8,2,0,0,1,2,1,0,0,False
300,214,9,7,1,5,1,4,1,0,1,0,False
296,216,16,3,2,2,1,2,0,1,0,4,False
286,224,14,5,5,1,1,1,2,2,0,2,False
277,227,7,15,2,2,0,1,1,2,1,8,False
226,276,19,12,4,3,0,0,0,1,1,1,False
282,223,13,12,3,0,3,4,0,1,1,1,False
236,275,9,7,3,3,3,2,2,0,2,1,False
278,227,12,12,2,3,2,4,0,2,1,0,False
273,226,18,9,2,2,1,2,0,1,1,8,False
247,266,4,6,3,4,2,2,0,2,1,6,True
219,288,5,14,4,2,1,4,1,2,1,2,False
291,220,13,13,1,1,1,1,1,1,0,0,False
251,256,4,13,0,0,2,3,2,0,2,10,True
284,219,11,11,0,5,1,5,0,1,1,5,False
294,199,24,9,3,3,2,3,1,0,0,5,False
252,250,16,9,1,4,3,2,0,1,1,4,True
259,245,13,10,0,2,2,1,2,1,1,7,True
334,169,13,6,4,2,1,4,2,0,1,7,False
230,259,24,12,1,6,1,2,0,2,0,6,True
220,290,8,8,1,0,0,5,0,0,1,10,False
258,242,16,8,0,6,1,5,1,1,2,3,True
312,207,7,0,2,4,2,2,1,0,2,4,False
229,272,14,11,2,3,2,4,2,1,1,2,False
282,232,2,13,0,1,1,1,1,2,0,8,False
268,239,13,9,3,3,2,0,1,2,1,2,True
299,196,18,15,2,0,1,0,1,0,2,9,False
242,273,9,1,4,2,3,3,2,1,1,2,False
269,234,8,10,5,0,2,4,1,0,1,9,True
286,226,10,8,3,4,0,0,1,0,1,4,False
285,236,2,11,3,2,0,3,0,0,1,0,False
289,225,1,15,1,3,3,2,0,2,2,0,False
322,189,18,1,0,0,2,2,1,0,0,8,False
277,245,1,11,2,1,0,2,1,0,1,2,False
289,220,7,5,4,3,1,4,1,0,1,8,False
322,174,21,14,0,4,3,0,2,1,0,2,False
254,255,18,3,3,4,0,1,0,2,1,2,True
279,222,19,10,4,1,0,0,1,1,1,5,False
268,244,11,3,2,5,2,4,1,2,1,0,True
312,185,15,14,0,5,3,3,2,2,2,0,False
276,240,4,8,4,4,3,3,0,1,0,0,False
229,275,13,11,3,2,1,4,0,0,2,3,False
273,249,1,8,0,5,0,4,1,1,0,1,False
244,260,20,7,1,3,3,2,2,0,1,0,True
271,236,7,11,4,3,1,1,0,1,1,7,True
326,187,3,8,2,4,1,2,1,1,0,8,False
282,222,17,2,3,0,1,4,1,2,1,8,False
208,295,15,10,1,2,1,1,0,2,2,6,False
267,227,22,7,4,2,0,2,2,1,2,7,True
232,273,17,4,3,6,0,1,0,0,0,7,False
273,240,7,11,0,0,1,1,2,1,1,6,False
294,229,1,0,5,3,3,0,1,0,1,6,False
288,198,25,11,2,4,0,2,1,1,1,10,False
225,262,25,14,5,2,2,3,2,2,0,1,True
277,234,8,15,1,2,1,1,0,2,1,1,False
272,232,8,10,3,4,2,2,0,0,2,8,False
240,283,1,3,0,2,1,3,1,0,0,9,False
253,264,3,3,0,5,0,3,0,2,1,9,True
249,245,20,15,4,0,2,2,2,1,2,1,True
267,246,9,6,3,3,1,2,2,0,2,2,True
268,236,1,15,1,6,0,4,1,1,2,8,True
314,213,3,1,1,3,0,1,1,2,2,2,False
234,260,24,6,5,5,3,5,0,1,0,0,True
262,249,21,2,0,0,3,3,1,0,1,1,True
240,258,14,8,5,6,0,1,1,1,1,8,True
235,284,5,5,1,4,2,3,1,0,2,1,False
249,262,16,4,2,2,3,3,0,0,0,2,True
248,240,19,14,3,5,2,1,1,0,0,10,True
286,224,12,8,3,0,1,0,1,0,0,8,False
229,284,9,3,0,4,3,5,0,2,0,4,False
256,252,9,15,1,1,1,1,1,0,0,6,True
312,186,9,8,5,6,3,3,0,2,1,8,False
277,231,8,7,3,5,0,2,1,0,1,8,False
233,263,16,15,1,2,0,2,2,2,1,6,True
307,209,6,12,4,3,0,0,0,2,0,0,False
286,223,12,3,1,1,2,4,2,0,2,7,False
230,274,11,3,4,6,2,1,1,1,2,8,False
263,241,15,4,0,4,2,4,2,1,1,6,True
317,204,8,4,0,3,1,1,2,2,0,1,False
327,192,3,8,5,0,2,3,0,1,1,1,False
323,195,8,0,3,4,0,1,2,2,0,5,False
302,215,4,0,4,2,3,1,2,0,1,9,False
311,193,12,4,1,5,3,5,2,1,1,5,False
312,181,20,11,5,4,1,2,1,0,2,4,False
249,272,7,1,3,3,1,0,1,2,2,2,False
245,268,7,6,3,3,3,2,1,1,2,2,True
270,241,6,3,4,2,1,4,2,0,0,10,True
234,272,14,9,3,0,3,3,0,2,0,3,False
307,216,0,5,4,2,2,0,0,0,0,7,False
252,249,25,3,1,6,1,1,2,0,1,2,True
311,199,12,7,2,0,1,4,1,2,1,3,False
247,267,5,8,5,5,1,1,1,1,2,0,True
300,184,25,13,4,2,2,2,1,0,1,9,False
264,251,8,2,2,4,0,1,2,0,1,8,True
263,255,3,10,3,0,2,1,1,2,1,2,True
247,265,4,6,4,5,3,2,0,2,1,4,True
287,233,10,3,0,2,0,1,2,0,2,3,False
315,188,10,14,3,4,2,3,1,1,0,2,False
256,252,20,3,2,3,0,5,2,0,0,0,True
299,225,0,8,4,0,2,2,0,0,2,1,False
235,265,15,14,0,1,2,1,1,0,2,7,True
293,221,10,8,0,3,1,4,0,0,2,1,False
281,224,7,7,4,0,2,5,0,2,2,9,False
251,252,16,6,0,4,1,3,1,1,2,6,True
263,254,6,10,0,3,0,1,0,2,1,3,True
253,250,22,9,0,3,0,0,0,2,2,2,True
321,198,6,2,0,4,1,0,1,1,1,8,False
265,233,16,13,4,3,1,1,0,2,2,3,True
271,243,12,3,2,4,2,2,1,1,1,1,True
261,241,21,1,5,4,2,1,0,1,0,6,True
285,216,15,10,4,4,0,0,2,2,2,3,False
240,262,16,3,2,2,1,4,1,2,0,10,True
278,247,6,1,1,3,1,1,0,2,2,1,False
262,251,20,2,2,0,0,4,1,0,1,0,True
289,222,6,13,0,1,2,2,2,0,1,5,False
252,251,8,10,2,3,0,5,2,2,0,8,True
261,256,7,4,3,2,2,3,2,0,2,1,True
287,224,18,2,1,1,3,3,0,2,0,2,False
251,252,18,0,4,5,1,3,1,1,1,6,True
272,234,11,6,0,2,2,5,2,2,2,5,False
267,251,4,2,1,3,2,2,2,0,1,8,True
231,281,3,13,1,4,2,2,1,2,2,1,False
254,264,12,0,0,4,1,4,2,0,1,1,True
296,212,19,3,0,5,2,1,2,1,0,2,False
317,192,7,4,4,6,3,4,0,2,0,4,False
322,204,5,0,2,3,1,0,0,0,0,6,False
255,235,16,9,5,5,3,5,1,1,0,8,True
314,206,8,1,2,2,0,0,1,1,1,7,False
262,258,6,3,3,0,3,1,2,2,1,2,True
270,243,12,1,1,5,0,2,2,0,2,5,True
248,249,18,6,0,5,0,4,1,1,2,9,True
227,277,16,5,2,5,0,3,2,1,1,4,False
248,248,18,12,0,2,2,2,1,1,1,8,True
285,232,15,3,4,1,0,0,0,0,0,3,False
325,177,15,12,4,2,0,2,1,2,0,3,False
266,245,7,11,3,2,2,2,2,0,0,3,True
245,256,24,5,5,3,0,2,1,0,1,1,True
294,226,6,0,3,3,1,4,0,2,1,3,False
266,248,2,10,2,4,2,5,0,1,1,2,True
279,206,17,12,4,4,2,4,2,2,2,9,False
245,251,9,15,4,6,1,5,0,2,0,5,True
272,241,4,7,3,4,1,3,1,2,2,3,False
243,254,17,12,3,3,0,2,0,2,0,7,True
292,213,15,8,3,3,1,3,2,0,0,3,False
272,239,7,11,3,2,2,4,1,1,0,1,False
279,235,15,0,4,0,2,4,0,1,2,1,False
240,254,21,9,2,4,0,2,2,1,2,6,True
289,221,8,11,1,2,2,4,0,2,1,2,False
279,216,17,11,0,6,2,0,2,0,2,8,False
270,238,20,1,2,2,1,1,0,1,1,6,True
275,228,16,12,2,3,3,4,0,0,0,0,False
295,223,0,3,3,5,2,3,0,0,2,7,False
291,216,6,7,4,1,2,4,2,1,1,8,False
231,274,9,8,2,0,3,4,1,0,2,9,False
314,202,4,5,0,3,1,3,2,1,1,7,False
240,253,21,12,3,3,1,3,2,2,1,2,True
294,230,4,0,4,6,0,4,0,0,0,1,False
321,184,10,7,3,1,1,4,1,2,1,8,False
219,278,11,14,4,4,0,3,2,2,1,5,False
255,251,13,0,5,4,0,5,2,2,2,4,True
248,244,21,12,4,4,0,2,1,1,2,4,True
270,247,9,1,3,5,1,1,1,1,1,3,True
252,253,7,10,4,4,3,4,2,0,1,3,True
306,190,22,10,0,4,1,1,2,2,2,3,False
292,213,14,5,3,5,1,0,0,2,2,6,False
241,268,11,3,2,5,3,5,0,1,1,3,True
282,234,1,6,2,2,2,4,0,1,0,9,False
291,204,20,8,4,5,2,2,2,0,0,5,False
243,245,22,12,5,6,1,4,1,2,0,2,True
315,191,14,4,1,3,3,1,2,0,0,9,False
265,261,4,4,0,2,1,0,2,0,1,3,True
289,211,11,11,0,3,2,4,1,2,2,7,False
259,261,0,6,3,0,2,0,2,0,2,8,True
287,224,20,2,1,0,2,4,1,1,0,1,False
252,250,20,9,4,2,0,2,0,2,0,2,True
207,300,10,11,3,4,1,4,0,2,1,0,False
335,173,11,11,2,1,0,4,1,1,1,3,False
315,190,19,10,0,1,2,0,2,1,2,1,False
218,264,19,15,4,5,0,3,2,1,2,10,True
272,243,11,10,0,1,2,0,2,0,1,1,False
295,191,21,14,4,1,1,1,1,2,2,10,False
307,204,9,4,0,5,2,5,2,1,0,4,False
257,248,12,11,0,0,3,2,2,2,0,6,True
280,230,7,14,0,5,1,1,0,1,1,3,False
244,266,9,2,2,4,2,2,2,2,0,8,True
267,244,9,10,0,2,2,1,2,0,1,5,True
307,204,18,5,2,0,0,4,0,0,0,3,False
236,257,20,8,3,6,3,3,0,2,2,3,True
278,227,8,13,5,1,1,5,0,2,0,3,False
220,282,10,6,3,2,3,2,2,1,2,10,False
283,215,17,11,2,2,3,1,0,1,0,8,False
280,232,5,12,0,0,1,2,2,0,2,7,False
284,213,20,2,1,6,0,2,2,2,1,10,False
